lat;lon;x;y;z;val;dqc;
 57.0973;12.2926;-164306;-654002;25;18.1;0;
 55.3574;10.3942;-293296;-841697;24;31.1;4;
 59.7008;6.35089;-484525;-334418;398;14.9;0;
 62.4921;6.25441;-447788;-25979;5;19.4;4;
 58.2428;12.9852;-118283;-527709;84;24.3;0;
 59.8845;8.72993;-349762;-329529;NA;10.3;1;
 59.0147;6.8995;-463564;-414255;NA;13.4;1;
 63.2845;9.84171;-257584;41972;10;22.7;0;
 60.2714;10.1876;-265404;-293583;NA;20;1;
 55.456;13.7465;-79670;-840375;NA;16.2;1;
 63.2946;10.2814;-235586;41406;17;22.9;0;
 64.9711;25.5877;496139;260157;15;20.1;0;
 63.4181;10.4138;-228009;54625;0;18;4;
 59.9014;10.7544;-236911;-336889;NA;22.8;1;
 55.6335;13.5058;-94504;-820160;39;17.8;0;
 59.8853;10.7932;-234866;-338820;181;19.3;0;
 55.3713;10.3992;-292866;-840165;24;20.1;0;
 60.6186;15.6388;34878;-264701;150;15.9;0;
 59.359;17.8977;164480;-401419;24;23.5;0;
 55.45;11.5428;-219677;-835917;52;18.4;0;
 57.6474;12.0123;-178451;-591867;8;18.9;0;
 59.0598;10.0561;-283007;-427581;65;19.6;4;
 59.9377;10.7813;-235147;-332954;102;20.7;0;
 63.1044;16.4443;72643;12425;124;21.1;5;
 59.1966;17.8763;164075;-419550;68;21.1;0;
 68.0351;16.0163;42442;560970;0;19.6;0;
 59.4242;10.4918;-255264;-388910;15;19.5;0;
 59.0761;15.1859;10647;-436633;64.7547;24.7;0;
 55.9845;12.526;-154937;-778960;32;16.9;0;
 63.0243;8.74532;-314985;18033;312;16.9;4;
 63.4792;13.2323;-87760;54492;NA;20.2;1;
 60.3371;5.37217;-528396;-256575;117;18.9;0;
 55.4705;11.184;-242315;-832334;NA;25.4;1;
 59.7589;9.99933;-280199;-349681;NA;18.6;1;
 55.3154;11.9409;-195119;-852272;37;17.4;0;
 61.186;8.21157;-363311;-182546;NA;16.5;1;
 59.771;5.49956;-530734;-319957;44;18.2;0;
 67.282;14.3915;-26208;476722;6;21.1;4;
